img,ism,fdr,brisque
morgan_glaze_adavoc,0.4935,0.75,41.2435
morgan_glaze_ape,0.5403,1,21.2143
morgan_glaze_bf,0.7603,0.875,26.8228
morgan_glaze_diffpure,0.2061,0.9375,36.9548
morgan_glaze_gn,0.7557,0.8125,22.6376
morgan_glaze_pdmpure,0.6984,0.5625,26.6821
morgan_metacloak,0.5282,0.25,37.0991
morgan_metacloak_adavoc,0.3298,0.125,41.4048
morgan_metacloak_ape,0.5399,0.25,26.4814
morgan_metacloak_bf,0.5373,0.125,44.1254
morgan_metacloak_diffpure,0.2026,0.8125,43.9599
morgan_metacloak_gn,0.5428,0.6875,8.1335
morgan_metacloak_pdmpure,0.6212,0.5625,28.7225
morgan_mist,0.4305,0.875,16.4826
morgan_mist_adavoc,0.5521,0.9375,39.6554
morgan_mist_ape,0.57,1,33.8325
morgan_mist_bf,0.8022,1,37.4593
morgan_mist_diffpure,0.2471,0.875,24.2019
morgan_mist_gn,0.7364,0.625,12.9911
morgan_mist_pdmpure,0.6298,0.375,34.7383
oprah,0.6758,0.875,15.624
oprah_aspl,0.426,0.8125,33.6162
oprah_aspl,0.5279,1,33.2864
oprah_aspl_adavoc,0.5236,0.875,26.1822
oprah_aspl_ape,0.5786,1,33.976
oprah_aspl_bf,0.4874,1,36.5829
oprah_aspl_diffpure,0.2971,0.875,34.8745
oprah_aspl_gn,0.643,1,18.4138
oprah_aspl_pdmpure,0.5943,0.9375,44.0045
oprah_glaze,0.6536,0.9375,22.2687
oprah_glaze_adavoc,0.4981,1,43.9764
oprah_glaze_ape,0.522,0.875,35.5704
oprah_glaze_bf,0.5442,0.9375,35.3019
oprah_glaze_diffpure,0.3044,1,44.7717
oprah_glaze_gn,0.7027,1,24.6349
oprah_glaze_pdmpure,0.5685,1,39.5231
oprah_metacloak,0.5419,0.9375,24.4233
oprah_metacloak_adavoc,0.3676,0.625,32.1118
oprah_metacloak_ape,0.5985,1,35.124
oprah_metacloak_bf,0.5792,0.9375,40.104
oprah_metacloak_diffpure,0.273,0.9375,34.5975
oprah_metacloak_gn,0.5766,1,17.2941
oprah_metacloak_pdmpure,0.6019,0.75,40.5387
oprah_mist,0.2628,0.5,20.2372
oprah_mist_adavoc,0.312,0.75,22.3818
oprah_mist_ape,0.4915,1,34.2201
oprah_mist_bf,0.3358,0.9375,32.747
oprah_mist_diffpure,0.2568,1,43.1207
oprah_mist_gn,0.4722,0.875,19.6629
oprah_mist_pdmpure,0.6087,0.9375,41.0155
qian,0.7358,0.875,6.6487
qian_aspl,0.6257,0.9375,34.5563
qian_aspl_ada,0.2772,0.9375,27.9069
qian_aspl_ape,0.4954,0.625,43.6748
qian_aspl_bf,0.5526,0.875,40.1626
qian_aspl_diffpure,0.1471,1,59.3791
qian_aspl_gn,0.6766,0.9375,27.8509
qian_glaze,0.5336,0.9375,18.1968
qian_glaze_ada,0.3324,1,27.1424
qian_glaze_ape,0.5872,0.9375,36.488
qian_glaze_bf,0.6335,1,44.6776
qian_glaze_diffpure,0.1289,0.9375,57.1588
qian_glaze_gn,0.6875,1,7.304
qian_metacloak,0.3009,0.1875,41.5404
qian_metacloak_ada,0.3475,0.875,7.0503
qian_metacloak_ape,0.5166,0.8125,37.5529
qian_metacloak_bf,0.51,0.75,46.2627
qian_metacloak_diffpure,0.1198,0.8125,55.9142
qian_metacloak_gn,0.4496,0.625,7.9766
qian_mist,0,0,20.3394
qian_mist_ada,0.3628,0.8125,19.5425
qian_mist_ape,0.4783,0.6875,35.232
qian_mist_bf,0.501,1,36.0645
qian_mist_diffpure,0.1393,1,60.3488
qian_mist_gn,0.5411,1,13.4353
rihanna,0.6777,0.625,18.1689
rihanna_aspl,0.5238,0.1875,41.39
rihanna_aspl,0.714,0.4375,38.6106
rihanna_aspl_adavoc,0.4533,0.25,25.7861
rihanna_aspl_ape,0.7405,0.3125,38.8998
rihanna_aspl_bf,0.6308,0.375,39.9536
rihanna_aspl_diffpure,-0.0094,0.5625,32.0255
rihanna_aspl_gn,0.6897,0.8125,8.9004
rihanna_aspl_pdmpure,0.6935,0.75,41.1335
rihanna_glaze,0.7639,0.75,24.7478
rihanna_glaze_adavoc,0.4544,0.5625,23.3671
rihanna_glaze_ape,0.6523,0.875,18.095
rihanna_glaze_bf,0.8224,0.8125,51.2237
rihanna_glaze_diffpure,0.0235,0.625,35.4417
rihanna_glaze_gn,0.822,0.9375,13.8441
rihanna_glaze_pdmpure,0.7681,0.5,42.3667
rihanna_metacloak,0.5084,0.25,39.9063
rihanna_metacloak_adavoc,0.5105,0.125,24.4187
rihanna_metacloak_ape,0.5446,0.25,27.1297
rihanna_metacloak_bf,0.6372,0.25,40.6216
rihanna_metacloak_diffpure,0.0187,0.75,49.2861
rihanna_metacloak_gn,0.7294,0.6875,11.8867
rihanna_metacloak_pdmpure,0.5975,0.5,41.4458
rihanna_mist,0.1433,0.5625,11.6549
rihanna_mist_adavoc,0.647,0.3125,23.4191
rihanna_mist_ape,0.5398,0.875,29.5717
rihanna_mist_bf,0.5195,0.4375,35.2584
rihanna_mist_diffpure,0.0598,0.625,51.3614
rihanna_mist_gn,0.7386,0.5625,14.8987
rihanna_mist_pdmpure,0.724,0.75,38.6124
shah,0.6259,1,27.1306
shah_aspl,0.4876,0.8125,37.2393
shah_aspl,0.5118,0.625,46.1953
shah_aspl_adavoc,0.4238,0.75,49.2502
shah_aspl_ape,0.4567,1,37.1252
shah_aspl_bf,0.4143,0.9375,39.0739
shah_aspl_diffpure,0.1232,0.875,51.7505
shah_aspl_gn,0.6695,1,31.3798
shah_aspl_pdmpure,0.3771,1,41.5617
shah_glaze,0.5662,1,40.5436
shah_glaze_adavoc,0.4205,0.9375,52.4293
shah_glaze_ape,0.6037,1,24.7773
shah_glaze_bf,0.6834,1,41.3801
shah_glaze_diffpure,0.0855,0.9375,46.5086
shah_glaze_gn,0.7075,0.875,31.8086
shah_glaze_pdmpure,0.4966,1,39.656
shah_metacloak,0.5539,0.75,38.1197
shah_metacloak_adavoc,0.1293,0.125,46.9222
shah_metacloak_ape,0.4768,0.875,37.2807
shah_metacloak_bf,0.5194,0.6875,39.5864
shah_metacloak_diffpure,0.1641,0.8125,53.7805
shah_metacloak_gn,0.5526,1,32.5934
shah_metacloak_pdmpure,0.5237,1,41.5399
shah_mist,0,0,17.6938
shah_mist_adavoc,0.4974,1,39.2954
shah_mist_ape,0.4281,0.9375,36.3346
shah_mist_bf,0.3744,1,46.8746
shah_mist_diffpure,0.1632,0.8125,53.1502
shah_mist_gn,0.5942,1,21.3173
shah_mist_pdmpure,0.489,1,41.9549
shirley,0.7735,0.9375,17.0669
shirley,0.7616,0.625,19.1317
shirley_aspl,0.7212,0.9375,41.6147
shirley_aspl,0.7269,0.875,40.1976
shirley_aspl_adavoc,0.4002,0.5625,22.1731
shirley_aspl_ape,0.4924,0.875,39.8606
shirley_aspl_bf,0.731,0.875,43.9343
shirley_aspl_diffpure,0.1618,0.8125,28.299
shirley_aspl_gn,0.7287,0.9375,36.6196
shirley_aspl_pdmpure,0.6816,0.8125,42.2558
shirley_glaze,0.7037,1,27.9313
shirley_glaze,0.6667,0.9375,20.4739
shirley_glaze_adavoc,0.3805,0.875,27.6654
shirley_glaze_ape,0.6019,0.9375,31.9274
shirley_glaze_bf,0.782,0.9375,45.8069
shirley_glaze_diffpure,0.0909,1,36.7894
shirley_glaze_gn,0.7705,0.9375,11.801
shirley_glaze_pdmpure,0.6673,0.9375,39.0744
shirley_metacloak,0.6678,0.75,36.6348
shirley_metacloak,0.6552,0.9375,37.6921
shirley_metacloak_adavoc,0.3746,0.5625,23.6497
shirley_metacloak_ape,0.4534,0.875,35.4892
shirley_metacloak_bf,0.7132,0.8125,41.1586
shirley_metacloak_diffpure,0.049,0.875,40.468
shirley_metacloak_gn,0.7616,1,31.1371
shirley_metacloak_pdmpure,0.6818,1,38.742
shirley_mist,0.2762,0.5,20.2969
shirley_mist,0.2665,0.4375,18.102
shirley_mist_adavoc,0.4892,0.75,26.8281
shirley_mist_ape,0.4202,0.9375,32.2223
shirley_mist_bf,0.6505,1,48.5268
shirley_mist_diffpure,0.2198,1,32.4317
shirley_mist_gn,0.6884,1,16.6269
shirley_mist_pdmpure,0.7091,0.75,40.2492
taylor,0.6,1,5.6725
taylor_aspl,0.3485,0.8125,34.8681
taylor_aspl,0.3493,0.8125,34.8681
taylor_aspl_adavoc,0.427,1,27.4012
taylor_aspl_ape,0.3637,1,40.4655
taylor_aspl_bf,0.4624,1,44.913
taylor_aspl_diffpure,-0.1155,1,57.713
taylor_aspl_gn,0.4954,0.9375,30.1743
taylor_aspl_pdmpure,0.2828,1,32.7949
taylor_glaze,0.4625,1,34.3214
taylor_glaze_adavoc,0.2978,1,35.3098
taylor_glaze_ape,0.4315,1,37.3272
taylor_glaze_bf,0.5127,1,41.1405
taylor_glaze_diffpure,-0.0666,0.9375,53.4909
taylor_glaze_gn,0.5376,1,23.3473
taylor_glaze_pdmpure,0.3929,1,31.6814
taylor_metacloak,0.3315,0.9375,38.2629
taylor_metacloak_adavoc,0.3136,0.875,27.7058
taylor_metacloak_ape,0.3429,0.9375,38.6055
taylor_metacloak_bf,0.3399,0.875,45.7055
taylor_metacloak_diffpure,-0.002,1,52.0574
taylor_metacloak_gn,0.3972,1,39.4883
taylor_metacloak_pdmpure,0.3961,1,31.6764
taylor_mist,0.1184,1,19.5008
taylor_mist_adavoc,0.2536,1,37.243
taylor_mist_ape,0.2666,1,40.9025
taylor_mist_bf,0.279,1,44.8566
taylor_mist_diffpure,-0.0088,0.9375,53.7283
taylor_mist_gn,0.3049,1,22.2759
taylor_mist_pdmpure,0.4235,1,34.6221
weitsang,0.7772,1,9.8035
weitsang_aspl,0.6289,1,40.4363
weitsang_aspl_ada,0.2219,0.9375,14.5606
weitsang_aspl_ape,0.5604,1,40.7163
weitsang_aspl_bf,0.6765,1,41.3466
weitsang_aspl_diffpure,0.3467,0.9375,58.8691
weitsang_aspl_gn,0.7624,0.9375,35.4296
weitsang_glaze,0.7674,1,17.7789
weitsang_glaze_ada,0.2213,1,21.1896
weitsang_glaze_ape,0.6069,1,33.3072
weitsang_glaze_bf,0.7483,0.9375,36.7156
weitsang_glaze_diffpure,0.2858,0.8125,47.6499
weitsang_glaze_gn,0.7979,1,13.4851
weitsang_metacloak,0.5937,0.875,38.2984
weitsang_metacloak_ada,0.1974,1,34.5906
weitsang_metacloak_ape,0.5559,0.875,38.7232
weitsang_metacloak_bf,0.7169,1,46.0937
weitsang_metacloak_diffpure,0.2226,0.875,55.0707
weitsang_metacloak_gn,0.7651,1,20.9478
weitsang_mist,0.4355,0.6875,17.1844
weitsang_mist_ada,0.211,1,27.522
weitsang_mist_ape,0.5358,0.9375,40.8297
weitsang_mist_bf,0.7149,1,43.5974
weitsang_mist_diffpure,0.2704,1,53.5365
weitsang_mist_gn,0.7164,1,26.9215
yuexin,0.6733,1,17.7579
yuexin_aspl,0.6252,1,37.4063
yuexin_aspl_ada,0.2416,1,51.1562
yuexin_aspl_ape,0.5565,1,37.3192
yuexin_aspl_bf,0.5834,1,42.19
yuexin_aspl_diffpure,0.1803,1,56.2308
yuexin_aspl_gn,0.5651,1,22.3647
yuexin_glaze,0.5797,1,16.7857
yuexin_glaze_ada,0.2273,1,55.4951
yuexin_glaze_ape,0.5703,1,35.6136
yuexin_glaze_bf,0.6136,0.9375,42.9538
yuexin_glaze_diffpure,0.274,0.875,56.6141
yuexin_glaze_gn,0.662,1,10.2088
yuexin_metacloak,0.666,1,37.9133
yuexin_metacloak_ada,0.212,1,49.9211
yuexin_metacloak_ape,0.5549,1,37.6994
yuexin_metacloak_bf,0.5949,1,48.9343
yuexin_metacloak_diffpure,0.2869,1,53.1638
yuexin_metacloak_gn,0.5249,1,4.3787
yuexin_mist,0.2629,0.8125,24.603
yuexin_mist_ada,0.1954,1,45.0033
yuexin_mist_ape,0.4236,1,33.3782
yuexin_mist_bf,0.574,1,48.2468
yuexin_mist_diffpure,0.2588,1,54.7371
yuexin_mist_gn,0.5178,1,20.808
ziyi,0.7821,1,10.9876
ziyi_aspl,0.6891,1,38.873
ziyi_aspl_ada,0.4016,1,42.2445
ziyi_aspl_ape,0.6658,1,39.7781
ziyi_aspl_bf,0.6844,0.875,44.1584
ziyi_aspl_diffpure,0.1025,1,58.9126
ziyi_aspl_gn,0.7509,1,15.2371
ziyi_glaze,0.7368,1,32.4229
ziyi_glaze_ada,0.4166,1,41.2448
ziyi_glaze_ape,0.6013,1,42.2281
ziyi_glaze_bf,0.7228,1,39.6787
ziyi_glaze_diffpure,0.0269,1,49.8432
ziyi_glaze_gn,0.789,1,17.1862
ziyi_metacloak,0.447,0.4375,38.6527
ziyi_metacloak_ada,0.317,0.875,41.0129
ziyi_metacloak_ape,0.5462,0.9375,25.6526
ziyi_metacloak_bf,0.523,0.8125,46.2941
ziyi_metacloak_diffpure,0.146,1,59.6779
ziyi_metacloak_gn,0.687,1,20.5847
ziyi_mist,0.2424,1,24.6448
ziyi_mist_ada,0.3054,1,39.3586
ziyi_mist_ape,0.4711,0.8125,30.7254
ziyi_mist_bf,0.6365,1,41.1304
ziyi_mist_diffpure,0.0748,1,43.6007
ziyi_mist_gn,0.5472,1,16.2818
ariana_aspl_gn_bf,0.6535,0.8750
ariana_aspl_bf_gn,0.6198,1.0000
ariana_metacloak_gn_bf,0.6166,0.4375
ariana_metacloak_bf_gn,0.5942,1.0000
ariana_mist_gn_bf,0.6129,1.0000
ariana_mist_bf_gn,0.6155,1.0000
ariana_glaze_gn_bf,0.6774,0.9375
ariana_glaze_bf_gn,0.7192,1.0000
beyonce_aspl_gn_bf,0.6527,1.0000
beyonce_aspl_bf_gn,0.6568,0.9375
beyonce_metacloak_gn_bf,0.6358,1.0000
beyonce_metacloak_bf_gn,0.6320,1.0000
beyonce_mist_gn_bf,0.6255,0.9375
beyonce_mist_bf_gn,0.5882,1.0000
beyonce_glaze_gn_bf,0.6577,1.0000
beyonce_glaze_bf_gn,0.6689,1.0000
bruce_aspl_gn_bf,0.6363,0.9375
bruce_aspl_bf_gn,0.6943,0.8125
bruce_metacloak_gn_bf,0.6005,0.7500
bruce_metacloak_bf_gn,0.5908,1.0000
bruce_mist_gn_bf,0.6461,0.8750
bruce_mist_bf_gn,0.6258,0.7500
bruce_glaze_gn_bf,0.6546,0.9375
bruce_glaze_bf_gn,0.6021,0.9375
cristiano_aspl_gn_bf,0.6365,0.8750
cristiano_aspl_bf_gn,0.6483,1.0000
cristiano_metacloak_gn_bf,0.5165,0.8750
cristiano_metacloak_bf_gn,0.5106,0.8750
cristiano_mist_gn_bf,0.5780,0.9375
cristiano_mist_bf_gn,0.6442,0.9375
cristiano_glaze_gn_bf,0.6607,0.8750
cristiano_glaze_bf_gn,0.6910,0.9375
ellen_aspl_gn_bf,0.6211,0.9375
ellen_aspl_bf_gn,0.6899,1.0000
ellen_metacloak_gn_bf,0.5685,0.8125
ellen_metacloak_bf_gn,0.6282,1.0000
ellen_mist_gn_bf,0.6323,1.0000
ellen_mist_bf_gn,0.6888,1.0000
ellen_glaze_gn_bf,0.7282,1.0000
ellen_glaze_bf_gn,0.6905,1.0000
emma_aspl_gn_bf,0.5871,0.9375
emma_aspl_bf_gn,0.6709,0.8750
emma_metacloak_gn_bf,0.5603,0.6875
emma_metacloak_bf_gn,0.6167,1.0000
emma_mist_gn_bf,0.5173,1.0000
emma_mist_bf_gn,0.5638,1.0000
emma_glaze_gn_bf,0.6441,0.9375
emma_glaze_bf_gn,0.6895,0.8750
george_aspl_gn_bf,0.5853,0.6250
george_aspl_bf_gn,0.6380,0.5000
george_metacloak_gn_bf,0.6340,0.2500
george_metacloak_bf_gn,0.5021,0.7500
george_mist_gn_bf,0.5382,0.3750
george_mist_bf_gn,0.5971,0.6250
george_glaze_gn_bf,0.6272,0.1875
george_glaze_bf_gn,0.5961,0.5000
jackie_aspl_gn_bf,0.7416,0.5625
jackie_aspl_bf_gn,0.7348,0.9375
jackie_metacloak_gn_bf,0.5653,0.8750
jackie_metacloak_bf_gn,0.6824,0.9375
jackie_mist_gn_bf,0.6773,0.9375
jackie_mist_bf_gn,0.6910,0.8750
jackie_glaze_gn_bf,0.7489,0.7500
jackie_glaze_bf_gn,0.7098,0.8125
james_aspl_gn_bf,0.6636,1.0000
james_aspl_bf_gn,0.7298,1.0000
james_metacloak_gn_bf,0.6919,1.0000
james_metacloak_bf_gn,0.6923,1.0000
james_mist_gn_bf,0.7265,1.0000
james_mist_bf_gn,0.6983,1.0000
james_glaze_gn_bf,0.7069,0.8750
james_glaze_bf_gn,0.6947,0.9375
johnny_aspl_gn_bf,0.6758,0.8750
johnny_aspl_bf_gn,0.6196,1.0000
johnny_metacloak_gn_bf,0.6109,1.0000
johnny_metacloak_bf_gn,0.5216,1.0000
johnny_mist_gn_bf,0.5418,1.0000
johnny_mist_bf_gn,0.6750,1.0000
johnny_glaze_gn_bf,0.6378,1.0000
johnny_glaze_bf_gn,0.6288,1.0000
justin_aspl_gn_bf,0.5933,0.9375
justin_aspl_bf_gn,0.5873,1.0000
justin_metacloak_gn_bf,0.4635,1.0000
justin_metacloak_bf_gn,0.5737,0.9375
justin_mist_gn_bf,0.4593,0.9375
justin_mist_bf_gn,0.5180,1.0000
justin_glaze_gn_bf,0.6121,1.0000
justin_glaze_bf_gn,0.6320,1.0000
kate_aspl_gn_bf,0.6131,1.0000
kate_aspl_bf_gn,0.6233,0.8125
kate_metacloak_gn_bf,0.6189,0.6250
kate_metacloak_bf_gn,0.6966,0.7500
kate_mist_gn_bf,0.5368,1.0000
kate_mist_bf_gn,0.6016,0.7500
kate_glaze_gn_bf,0.6082,1.0000
kate_glaze_bf_gn,0.6293,1.0000
leonardo_aspl_gn_bf,0.7356,1.0000
leonardo_aspl_bf_gn,0.7487,1.0000
leonardo_metacloak_gn_bf,0.6858,0.9375
leonardo_metacloak_bf_gn,0.7459,0.9375
leonardo_mist_gn_bf,0.7082,1.0000
leonardo_mist_bf_gn,0.7127,1.0000
leonardo_glaze_gn_bf,0.7336,1.0000
leonardo_glaze_bf_gn,0.7931,1.0000
lucy_aspl_gn_bf,0.7201,1.0000
lucy_aspl_bf_gn,0.7016,1.0000
lucy_metacloak_gn_bf,0.6348,1.0000
lucy_metacloak_bf_gn,0.5944,1.0000
lucy_mist_gn_bf,0.6403,1.0000
lucy_mist_bf_gn,0.6768,0.9375
lucy_glaze_gn_bf,0.6699,1.0000
lucy_glaze_bf_gn,0.7387,1.0000
morgan_aspl_gn_bf,0.7714,1.0000
morgan_aspl_bf_gn,0.7243,0.7500
morgan_metacloak_gn_bf,0.6442,0.4375
morgan_metacloak_bf_gn,0.6587,0.8750
morgan_mist_gn_bf,0.7505,1.0000
morgan_mist_bf_gn,0.7646,1.0000
morgan_glaze_gn_bf,0.7507,0.6875
morgan_glaze_bf_gn,0.6621,0.8125
oprah_aspl_gn_bf,0.6189,0.8750
oprah_aspl_bf_gn,0.6782,1.0000
oprah_metacloak_gn_bf,0.5388,0.9375
oprah_metacloak_bf_gn,0.6263,1.0000
oprah_mist_gn_bf,0.5728,1.0000
oprah_mist_bf_gn,0.6817,1.0000
oprah_glaze_gn_bf,0.6045,0.9375
oprah_glaze_bf_gn,0.6411,0.9375
rihanna_aspl_gn_bf,0.8185,0.6250
rihanna_aspl_bf_gn,0.8012,0.8750
rihanna_metacloak_gn_bf,0.7927,0.6875
rihanna_metacloak_bf_gn,0.5973,0.3125
rihanna_mist_gn_bf,0.6495,0.5000
rihanna_mist_bf_gn,0.7130,0.8750
rihanna_glaze_gn_bf,0.8162,0.8125
rihanna_glaze_bf_gn,0.8632,0.6875
shah_aspl_gn_bf,0.6483,1.0000
shah_aspl_bf_gn,0.6718,0.9375
shah_metacloak_gn_bf,0.5041,0.8750
shah_metacloak_bf_gn,0.5446,1.0000
shah_mist_gn_bf,0.4363,1.0000
shah_mist_bf_gn,0.6656,1.0000
shah_glaze_gn_bf,0.6526,1.0000
shah_glaze_bf_gn,0.6137,0.9375
shirley_aspl_gn_bf,0.8029,1.0000
shirley_aspl_bf_gn,0.7508,0.9375
shirley_metacloak_gn_bf,0.7446,0.9375
shirley_metacloak_bf_gn,0.7172,1.0000
shirley_mist_gn_bf,0.7061,0.9375
shirley_mist_bf_gn,0.6758,1.0000
shirley_glaze_gn_bf,0.8010,1.0000
shirley_glaze_bf_gn,0.7784,0.9375
taylor_aspl_gn_bf,0.4813,0.8125
taylor_aspl_bf_gn,0.5397,1.0000
taylor_metacloak_gn_bf,0.3617,0.9375
taylor_metacloak_bf_gn,0.4812,1.0000
taylor_mist_gn_bf,0.2325,1.0000
taylor_mist_bf_gn,0.3845,1.0000
taylor_glaze_gn_bf,0.6429,1.0000
taylor_glaze_bf_gn,0.5018,1.0000
amy_aspl_adavoc,0.3501,1.0000
amy_aspl_bf_gn,0.7279,1.0000
amy_aspl_gn_bf,0.6431,1.0000
amy_metacloak_adavoc,0.2565,1.0000
amy_metacloak_bf_gn,0.5874,1.0000
amy_metacloak_gn_bf,0.5506,1.0000
amy_mist_adavoc,0.4571,1.0000
amy_mist_bf_gn,0.5996,1.0000
amy_mist_gn_bf,0.6240,1.0000
amy_glaze_adavoc,0.4026,1.0000
amy_glaze_bf_gn,0.7183,1.0000
amy_glaze_gn_bf,0.6382,1.0000
kiat_aspl_adavoc,0.3728,1.0000
kiat_aspl_bf_gn,0.6122,1.0000
kiat_aspl_gn_bf,0.6109,0.9375
kiat_aspl_pdmpure,0.5469,1.0000
kiat_metacloak_adavoc,0.2390,0.6875
kiat_metacloak_bf_gn,0.5837,1.0000
kiat_metacloak_gn_bf,0.5546,1.0000
kiat_mist_adavoc,0.3611,1.0000
kiat_mist_bf_gn,0.5482,0.9412
kiat_mist_gn_bf,0.5516,1.0000
kiat_glaze_adavoc,0.3745,0.8750
kiat_glaze_bf_gn,0.6644,0.9412
kiat_glaze_gn_bf,0.5810,0.9412
qian_aspl_adavoc,0.4453,0.8750
qian_aspl_bf_gn,0.6824,1.0000
qian_aspl_gn_bf,0.5485,1.0000
qian_metacloak_adavoc,0.4142,0.8750
qian_metacloak_bf_gn,0.5154,0.9375
qian_metacloak_gn_bf,0.5538,0.9375
qian_mist_adavoc,0.5265,1.0000
qian_mist_bf_gn,0.5903,1.0000
qian_mist_gn_bf,0.5695,1.0000
qian_glaze_adavoc,0.5653,1.0000
qian_glaze_bf_gn,0.7543,0.9375
qian_glaze_gn_bf,0.6935,0.9375
yuexin_aspl_adavoc,0.4624,1.0000
yuexin_aspl_bf_gn,0.7113,1.0000
yuexin_aspl_gn_bf,0.5814,1.0000
yuexin_metacloak_adavoc,0.3882,1.0000
yuexin_metacloak_bf_gn,0.6475,1.0000
yuexin_metacloak_gn_bf,0.5565,1.0000
yuexin_mist_adavoc,0.4549,0.9375
yuexin_mist_bf_gn,0.5950,1.0000
yuexin_mist_gn_bf,0.5211,1.0000
yuexin_glaze_adavoc,0.4937,1.0000
yuexin_glaze_bf_gn,0.6963,1.0000
yuexin_glaze_gn_bf,0.7010,1.0000
ziyi_aspl_adavoc,0.4130,0.9375
ziyi_aspl_bf_gn,0.7708,0.8750
ziyi_aspl_gn_bf,0.7328,0.9375
ziyi_metacloak_adavoc,0.1362,0.6250
ziyi_metacloak_bf_gn,0.7326,1.0000
ziyi_metacloak_gn_bf,0.6584,1.0000
ziyi_mist_adavoc,0.1825,0.7500
ziyi_mist_bf_gn,0.7027,1.0000
ziyi_mist_gn_bf,0.6509,0.9375
ziyi_glaze_adavoc,0.4085,0.8125
ziyi_glaze_bf_gn,0.7772,0.9375
ziyi_glaze_gn_bf,0.7026,0.9375
amy_aspl_pdmpure,0.4834,1.0000
kiat_metacloak_pdmpure,0.5836,1.0000
kiat_glaze_pdmpure,0.5688,1.0000
qian_aspl_pdmpure,0.5711,1.0000
ziyi_aspl_pdmpure,0.6407,0.9375
amy_metacloak_pdmpure,0.5328,1.0000
amy_mist_pdmpure,0.4582,1.0000
amy_glaze_pdmpure,0.4701,1.0000
kiat_mist_pdmpure,0.5666,1.0000
qian_metacloak_pdmpure,0.6129,1.0000
qian_mist_pdmpure,0.5910,0.9375
qian_glaze_pdmpure,0.6169,0.9375
yuexin_aspl_pdmpure,0.5451,1.0000
yuexin_metacloak_pdmpure,0.4792,1.0000
yuexin_mist_pdmpure,0.4717,1.0000
yuexin_glaze_pdmpure,0.5090,1.0000
ziyi_metacloak_pdmpure,0.5991,0.8125
ziyi_mist_pdmpure,0.6308,0.9375
ziyi_glaze_pdmpure,0.6447,0.9375
chengyu_aspl_bf_gn,0.7212,1.0000
chengyu_aspl_gn_bf,0.5335,1.0000
chengyu_aspl_adavoc,0.3749,0.9375
chengyu_aspl_pdmpure,0.5590,1.0000
chengyu_glaze_bf_gn,0.7493,1.0000
chengyu_glaze_gn_bf,0.6934,1.0000
chengyu_glaze_adavoc,0.3090,1.0000
chengyu_glaze_pdmpure,0.6016,1.0000
chengyu_metacloak_bf_gn,0.6886,1.0000
chengyu_metacloak_gn_bf,0.5391,0.6875
chengyu_metacloak_adavoc,0.2525,1.0000
chengyu_metacloak_pdmpure,0.5500,1.0000
chengyu_mist_bf_gn,0.4627,1.0000
chengyu_mist_gn_bf,0.3854,1.0000
chengyu_mist_adavoc,0.2331,1.0000
chengyu_mist_pdmpure,0.4894,1.0000
