img,ism,fdr
ariana_aspl,0.7226,1
ariana_aspl_bf,0.7478,1
ariana_aspl_bf_gn,0.7388,1
ariana_aspl_gn,0.7216,1
ariana_aspl_gn_bf,0.7478,1
ariana_aspl_ape,0.6582,1
ariana_aspl_ada,0.5047,0.75
ariana_aspl_diffpure,0.0981,0.75
ariana_glaze,0.7538,1
ariana_glaze_bf,0.7667,1
ariana_glaze_bf_gn,0.7273,1
ariana_glaze_gn,0.722,1
ariana_glaze_gn_bf,0.7667,1
ariana_glaze_ape,0.6865,1
ariana_glaze_ada,0.5573,0.75
ariana_glaze_diffpure,0.0846,0.75
ariana_metacloak,0.7018,1
ariana_metacloak_bf,0.6925,1
ariana_metacloak_bf_gn,0.6895,1
ariana_metacloak_gn,0.6878,1
ariana_metacloak_gn_bf,0.6925,1
ariana_metacloak_ape,0.6825,0.5
ariana_metacloak_ada,0.0988,0.5
ariana_metacloak_diffpure,0.2124,0.25
ariana_mist,0.6917,1
ariana_mist_bf,0.6896,1
ariana_mist_bf_gn,0.6677,1
ariana_mist_gn,0.6665,1
ariana_mist_gn_bf,0.6896,1
ariana_mist_ape,0.6858,1
ariana_mist_ada,0.4512,0.75
ariana_mist_diffpure,0.0953,0.5
beyonce_aspl,0.7341,1
beyonce_aspl_bf,0.7612,1
beyonce_aspl_bf_gn,0.7531,1
beyonce_aspl_gn,0.7447,1
beyonce_aspl_gn_bf,0.7612,1
beyonce_aspl_ape,0.6757,1
beyonce_aspl_ada,0.34,0.25
beyonce_aspl_diffpure,0.355,0.5
beyonce_glaze,0.7439,1
beyonce_glaze_bf,0.7558,1
beyonce_glaze_bf_gn,0.7413,1
beyonce_glaze_gn,0.7592,1
beyonce_glaze_gn_bf,0.7558,1
beyonce_glaze_ape,0.69,1
beyonce_glaze_ada,0.3781,0.25
beyonce_glaze_diffpure,0.3473,0.5
beyonce_metacloak,0.6963,1
beyonce_metacloak_bf,0.6939,1
beyonce_metacloak_bf_gn,0.7218,1
beyonce_metacloak_gn,0.6965,1
beyonce_metacloak_gn_bf,0.6939,1
beyonce_metacloak_ape,0.5909,1
beyonce_metacloak_ada,0,0
beyonce_metacloak_diffpure,0.319,0.75
beyonce_mist,0.7175,1
beyonce_mist_bf,0.7408,1
beyonce_mist_bf_gn,0.6828,1
beyonce_mist_gn,0.7166,1
beyonce_mist_gn_bf,0.7408,1
beyonce_mist_ape,0.6603,1
beyonce_mist_ada,0.4564,0.25
beyonce_mist_diffpure,0.3106,0.75
bruce_aspl,0.7294,0.75
bruce_aspl_bf,0.7361,0.75
bruce_aspl_bf_gn,0.6822,0.75
bruce_aspl_gn,0.7224,0.75
bruce_aspl_gn_bf,0.7361,0.75
bruce_aspl_ape,0.6261,0.75
bruce_aspl_ada,0,0
bruce_aspl_diffpure,0.2379,0.75
bruce_glaze,0.7444,0.75
bruce_glaze_bf,0.7326,0.75
bruce_glaze_bf_gn,0.755,0.75
bruce_glaze_gn,0.741,0.75
bruce_glaze_gn_bf,0.7326,0.75
bruce_glaze_ape,0.6104,0.75
bruce_glaze_ada,0,0
bruce_glaze_diffpure,0.23,0.75
bruce_metacloak,0.677,0.75
bruce_metacloak_bf,0.7136,0.75
bruce_metacloak_bf_gn,0.6943,0.75
bruce_metacloak_gn,0.6902,0.75
bruce_metacloak_gn_bf,0.7136,0.75
bruce_metacloak_ape,0.5699,0.5
bruce_metacloak_ada,0,0
bruce_metacloak_diffpure,0.2278,0.75
bruce_mist,0.7186,0.75
bruce_mist_bf,0.7261,0.75
bruce_mist_bf_gn,0.7155,0.75
bruce_mist_gn,0.6914,0.75
bruce_mist_gn_bf,0.7261,0.75
bruce_mist_ape,0.6369,0.75
bruce_mist_ada,0.2376,0.25
bruce_mist_diffpure,0.2042,0.75
cristiano_aspl,0.6447,0.75
cristiano_aspl_bf,0.6663,0.75
cristiano_aspl_bf_gn,0.6335,1
cristiano_aspl_gn,0.6522,1
cristiano_aspl_gn_bf,0.6663,0.75
cristiano_aspl_ape,0.6082,1
cristiano_aspl_ada,0,0
cristiano_aspl_diffpure,0.2215,0.5
cristiano_glaze,0.6612,0.75
cristiano_glaze_bf,0.6724,0.75
cristiano_glaze_bf_gn,0.648,1
cristiano_glaze_gn,0.6534,1
cristiano_glaze_gn_bf,0.6724,0.75
cristiano_glaze_ape,0.5926,1
cristiano_glaze_ada,0,0
cristiano_glaze_diffpure,0.2586,0.5
cristiano_metacloak,0.6481,0.75
cristiano_metacloak_bf,0.6348,0.75
cristiano_metacloak_bf_gn,0.6036,1
cristiano_metacloak_gn,0.6022,0.75
cristiano_metacloak_gn_bf,0.6348,0.75
cristiano_metacloak_ape,0.5284,0.75
cristiano_metacloak_ada,0,0
cristiano_metacloak_diffpure,0.2485,0.5
cristiano_mist,0.6624,1
cristiano_mist_bf,0.659,1
cristiano_mist_bf_gn,0.6158,1
cristiano_mist_gn,0.6203,1
cristiano_mist_gn_bf,0.659,1
cristiano_mist_ape,0.5882,1
cristiano_mist_ada,0,0
cristiano_mist_diffpure,0.2254,0.5
ellen_aspl,0.8072,1
ellen_aspl_bf,0.8191,1
ellen_aspl_bf_gn,0.7772,1
ellen_aspl_gn,0.7839,1
ellen_aspl_gn_bf,0.8191,1
ellen_aspl_ape,0.7337,1
ellen_aspl_ada,0,0
ellen_aspl_diffpure,0.1366,1
ellen_glaze,0.8221,1
ellen_glaze_bf,0.8145,1
ellen_glaze_bf_gn,0.8047,1
ellen_glaze_gn,0.8029,1
ellen_glaze_gn_bf,0.8145,1
ellen_glaze_ape,0.7314,1
ellen_glaze_ada,0,0
ellen_glaze_diffpure,0.1122,1
ellen_metacloak,0.7798,1
ellen_metacloak_bf,0.7906,1
ellen_metacloak_bf_gn,0.7186,1
ellen_metacloak_gn,0.7595,1
ellen_metacloak_gn_bf,0.7906,1
ellen_metacloak_ape,0.5661,1
ellen_metacloak_ada,0,0
ellen_metacloak_diffpure,0.0972,1
ellen_mist,0.7752,1
ellen_mist_bf,0.8047,1
ellen_mist_bf_gn,0.7636,1
ellen_mist_gn,0.7489,1
ellen_mist_gn_bf,0.8047,1
ellen_mist_ape,0.6827,1
ellen_mist_ada,0,0
ellen_mist_diffpure,0.1115,1
emma_aspl,0.7015,1
emma_aspl_bf,0.7187,1
emma_aspl_bf_gn,0.6745,1
emma_aspl_gn,0.6558,1
emma_aspl_gn_bf,0.7187,1
emma_aspl_ape,0.6112,1
emma_aspl_ada,0.3421,0.5
emma_aspl_diffpure,0.2013,1
emma_glaze,0.7523,1
emma_glaze_bf,0.7597,1
emma_glaze_bf_gn,0.6761,1
emma_glaze_gn,0.6857,1
emma_glaze_gn_bf,0.7597,1
emma_glaze_ape,0.6322,1
emma_glaze_ada,0.3982,0.5
emma_glaze_diffpure,0.18,1
emma_metacloak,0.6224,1
emma_metacloak_bf,0.6402,1
emma_metacloak_bf_gn,0.6132,1
emma_metacloak_gn,0.6059,1
emma_metacloak_gn_bf,0.6402,1
emma_metacloak_ape,0.5058,0.5
emma_metacloak_ada,0.4265,0.25
emma_metacloak_diffpure,0.182,1
emma_mist,0.6658,1
emma_mist_bf,0.6648,1
emma_mist_bf_gn,0.6134,1
emma_mist_gn,0.6325,1
emma_mist_gn_bf,0.6648,1
emma_mist_ape,0.555,1
emma_mist_ada,0.2859,0.5
emma_mist_diffpure,0.1694,1
george_aspl,0.6554,0.75
george_aspl_bf,0.6582,0.75
george_aspl_bf_gn,0.636,0.75
george_aspl_gn,0.6432,0.75
george_aspl_gn_bf,0.6582,0.75
george_aspl_ape,0.5754,0.75
george_aspl_ada,0,0
george_aspl_diffpure,0.1392,0.5
george_glaze,0.6681,0.75
george_glaze_bf,0.6804,0.75
george_glaze_bf_gn,0.6631,0.75
george_glaze_gn,0.6434,0.75
george_glaze_gn_bf,0.6804,0.75
george_glaze_ape,0.4898,1
george_glaze_ada,0,0
george_glaze_diffpure,0.1231,0.5
george_metacloak,0.6145,0.75
george_metacloak_bf,0.6593,0.75
george_metacloak_bf_gn,0.6109,0.75
george_metacloak_gn,0.6115,0.75
george_metacloak_gn_bf,0.6593,0.75
george_metacloak_ape,0.4001,0.25
george_metacloak_ada,0,0
george_metacloak_diffpure,0.142,0.5
george_mist,0.626,0.75
george_mist_bf,0.6596,0.75
george_mist_bf_gn,0.608,0.75
george_mist_gn,0.6206,0.75
george_mist_gn_bf,0.6596,0.75
george_mist_ape,0.586,0.75
george_mist_ada,0,0
george_mist_diffpure,0.1308,0.75
jackie_aspl,0.7342,0.75
jackie_aspl_bf,0.7484,0.75
jackie_aspl_bf_gn,0.7205,0.75
jackie_aspl_gn,0.7149,0.75
jackie_aspl_gn_bf,0.7484,0.75
jackie_aspl_ape,0.6879,1
jackie_aspl_ada,0,0
jackie_aspl_diffpure,0.1729,1
jackie_glaze,0.7567,0.75
jackie_glaze_bf,0.7521,0.75
jackie_glaze_bf_gn,0.7338,0.75
jackie_glaze_gn,0.7312,0.75
jackie_glaze_gn_bf,0.7521,0.75
jackie_glaze_ape,0.6924,1
jackie_glaze_ada,0,0
jackie_glaze_diffpure,0.1779,1
jackie_metacloak,0.6816,1
jackie_metacloak_bf,0.7011,1
jackie_metacloak_bf_gn,0.6626,1
jackie_metacloak_gn,0.6358,0.75
jackie_metacloak_gn_bf,0.7011,1
jackie_metacloak_ape,0.4939,0.75
jackie_metacloak_ada,0,0
jackie_metacloak_diffpure,0.1609,1
jackie_mist,0.7022,1
jackie_mist_bf,0.7329,0.75
jackie_mist_bf_gn,0.6624,0.75
jackie_mist_gn,0.6856,0.75
jackie_mist_gn_bf,0.7329,0.75
jackie_mist_ape,0.657,1
jackie_mist_ada,0.06,0.25
jackie_mist_diffpure,0.18,1
james_aspl,0.7761,1
james_aspl_bf,0.7888,1
james_aspl_bf_gn,0.7543,1
james_aspl_gn,0.7706,1
james_aspl_gn_bf,0.7888,1
james_aspl_ape,0.7407,1
james_aspl_ada,0.2689,0.25
james_aspl_diffpure,0.104,1
james_glaze,0.7905,1
james_glaze_bf,0.7956,1
james_glaze_bf_gn,0.7717,1
james_glaze_gn,0.783,1
james_glaze_gn_bf,0.7956,1
james_glaze_ape,0.7663,1
james_glaze_ada,0.2832,0.25
james_glaze_diffpure,0.1208,1
james_metacloak,0.781,0.75
james_metacloak_bf,0.7781,1
james_metacloak_bf_gn,0.7389,1
james_metacloak_gn,0.7497,1
james_metacloak_gn_bf,0.7781,1
james_metacloak_ape,0.7231,0.75
james_metacloak_ada,0.0496,0.25
james_metacloak_diffpure,0.0906,1
james_mist,0.795,1
james_mist_bf,0.7637,1
james_mist_bf_gn,0.7373,1
james_mist_gn,0.7634,1
james_mist_gn_bf,0.7637,1
james_mist_ape,0.7099,1
james_mist_ada,0.315,0.25
james_mist_diffpure,0.1035,1
johnny_aspl,0.6994,1
johnny_aspl_bf,0.7189,1
johnny_aspl_bf_gn,0.703,1
johnny_aspl_gn,0.7083,1
johnny_aspl_gn_bf,0.7189,1
johnny_aspl_ape,0.6503,1
johnny_aspl_ada,0.0914,0.25
johnny_aspl_diffpure,0.1714,1
johnny_glaze,0.7115,1
johnny_glaze_bf,0.7081,1
johnny_glaze_bf_gn,0.6752,1
johnny_glaze_gn,0.682,1
johnny_glaze_gn_bf,0.7081,1
johnny_glaze_ape,0.6605,1
johnny_glaze_ada,0.0791,0.5
johnny_glaze_diffpure,0.1573,1
johnny_metacloak,0.6535,1
johnny_metacloak_bf,0.6632,1
johnny_metacloak_bf_gn,0.6642,1
johnny_metacloak_gn,0.6528,1
johnny_metacloak_gn_bf,0.6632,1
johnny_metacloak_ape,0.5662,1
johnny_metacloak_ada,0.0778,0.25
johnny_metacloak_diffpure,0.1517,1
johnny_mist,0.6456,1
johnny_mist_bf,0.6841,1
johnny_mist_bf_gn,0.6574,1
johnny_mist_gn,0.6512,1
johnny_mist_gn_bf,0.6841,1
johnny_mist_ape,0.6194,1
johnny_mist_ada,0.0733,0.5
johnny_mist_diffpure,0.1681,1
justin_aspl,0.6723,1
justin_aspl_bf,0.6898,1
justin_aspl_bf_gn,0.6033,1
justin_aspl_gn,0.6273,1
justin_aspl_gn_bf,0.6898,1
justin_aspl_ape,0.5261,0.75
justin_aspl_ada,0,0
justin_aspl_diffpure,0.2103,0.75
justin_glaze,0.691,1
justin_glaze_bf,0.6814,1
justin_glaze_bf_gn,0.6146,1
justin_glaze_gn,0.6145,1
justin_glaze_gn_bf,0.6814,1
justin_glaze_ape,0.508,1
justin_glaze_ada,0,0
justin_glaze_diffpure,0.2116,0.75
justin_metacloak,0.6864,0.75
justin_metacloak_bf,0.6832,0.75
justin_metacloak_bf_gn,0.6493,0.75
justin_metacloak_gn,0.6047,0.75
justin_metacloak_gn_bf,0.6832,0.75
justin_metacloak_ape,0.4419,0.75
justin_metacloak_ada,0,0
justin_metacloak_diffpure,0.203,0.75
justin_mist,0.6813,0.75
justin_mist_bf,0.6346,1
justin_mist_bf_gn,0.6426,0.75
justin_mist_gn,0.6501,0.75
justin_mist_gn_bf,0.6346,1
justin_mist_ape,0.5627,0.75
justin_mist_ada,0,0
justin_mist_diffpure,0.2006,0.75
kate_aspl,0.7528,0.75
kate_aspl_bf,0.742,0.75
kate_aspl_bf_gn,0.7004,0.75
kate_aspl_gn,0.6518,0.75
kate_aspl_gn_bf,0.742,0.75
kate_aspl_ape,0.6232,0.75
kate_aspl_ada,0,0
kate_aspl_diffpure,0.1103,0.5
kate_glaze,0.7461,0.75
kate_glaze_bf,0.7154,0.75
kate_glaze_bf_gn,0.7118,0.75
kate_glaze_gn,0.7006,0.75
kate_glaze_gn_bf,0.7154,0.75
kate_glaze_ape,0.6177,0.75
kate_glaze_ada,0,0
kate_glaze_diffpure,0.1302,0.5
kate_metacloak,0.6922,0.75
kate_metacloak_bf,0.7122,0.75
kate_metacloak_bf_gn,0.7217,0.75
kate_metacloak_gn,0.6973,0.75
kate_metacloak_gn_bf,0.7122,0.75
kate_metacloak_ape,0.5723,0.5
kate_metacloak_ada,0,0
kate_metacloak_diffpure,0.0836,0.5
kate_mist,0.7357,0.75
kate_mist_bf,0.7262,0.75
kate_mist_bf_gn,0.6704,0.75
kate_mist_gn,0.6848,0.75
kate_mist_gn_bf,0.7262,0.75
kate_mist_ape,0.6153,0.75
kate_mist_ada,0,0
kate_mist_diffpure,0.1182,0.5
leonardo_aspl,0.8662,1
leonardo_aspl_bf,0.8622,1
leonardo_aspl_bf_gn,0.8338,1
leonardo_aspl_gn,0.8376,1
leonardo_aspl_gn_bf,0.8622,1
leonardo_aspl_ape,0.7873,1
leonardo_aspl_ada,0.6845,0.25
leonardo_aspl_diffpure,0.0485,0.25
leonardo_glaze,0.8616,1
leonardo_glaze_bf,0.8731,1
leonardo_glaze_bf_gn,0.8274,1
leonardo_glaze_gn,0.8356,1
leonardo_glaze_gn_bf,0.8731,1
leonardo_glaze_ape,0.7852,1
leonardo_glaze_ada,0.6868,0.25
leonardo_glaze_diffpure,0.0524,0.25
leonardo_metacloak,0.7988,1
leonardo_metacloak_bf,0.8116,1
leonardo_metacloak_bf_gn,0.7584,1
leonardo_metacloak_gn,0.7801,1
leonardo_metacloak_gn_bf,0.8116,1
leonardo_metacloak_ape,0.6729,1
leonardo_metacloak_ada,0.6976,0.25
leonardo_metacloak_diffpure,0.0959,0.25
leonardo_mist,0.7859,1
leonardo_mist_bf,0.7955,1
leonardo_mist_bf_gn,0.7512,1
leonardo_mist_gn,0.7747,1
leonardo_mist_gn_bf,0.7955,1
leonardo_mist_ape,0.7092,1
leonardo_mist_ada,0.3758,0.5
leonardo_mist_diffpure,0.0395,0.25
lucy_aspl,0.7631,1
lucy_aspl_bf,0.7653,1
lucy_aspl_bf_gn,0.7305,1
lucy_aspl_gn,0.7375,1
lucy_aspl_gn_bf,0.7653,1
lucy_aspl_ape,0.6056,1
lucy_aspl_ada,0,0
lucy_aspl_diffpure,0.0854,1
lucy_glaze,0.7601,1
